sample_id,lon,lat,state,district,event_date,elevation,slope_deg,aspect_sin,aspect_cos,plan_curv,prof_curv,tri,twi,relief_500m,rain_1d,rain_3d,rain_7d,rain_15d,rain_30d,api,rain_annual_mean,label,label_conf,loc_accuracy_km,trigger,size,category,fatalities,source,hq_location,block_id,split
8ddb9a236db6eae7,95.86,28.4659,Arunachal Pradesh,Lower Dibang Valley,2012-04-08,1059.225,30.7388,0.8422,0.5392,-0.001,-0.0,41.1936,12.3197,519.5564,0.0,0.0,0.0,0.0,0.0,0.0,2221.3835,1,0.2,50.0,downpour,medium,landslide,0,NASA_GLC,0,310028,val
8ce51b6b205287da,93.4221,24.7505,Manipur,Tamenglong,2010-08-27,787.5544,11.1015,-0.8232,-0.5678,-0.0026,-0.0015,19.23,14.0233,136.0768,1.0112,11.6155,17.6162,57.1448,157.1561,32.5574,1640.2489,1,0.6,5.0,downpour,medium,landslide,0,NASA_GLC,0,210011,train
30692290dbb597e6,94.0489,25.4477,Manipur,Senapati,2015-07-22,1341.4984,26.7993,0.6086,-0.7935,0.0045,0.0007,38.3019,12.3087,452.8996,11.1686,43.9182,121.6747,186.7667,310.5978,114.3481,1517.4457,1,0.85,1.0,continuous_rain,medium,landslide,0,NASA_GLC,1,240014,train
1b0f517cf4d67e3b,94.5808,26.284,Nagaland,Tuensang,2013-08-04,763.6572,25.6952,0.999,0.0448,0.0012,1e-04,32.7902,12.877,240.8582,0.0,27.6597,40.6293,147.6558,338.9963,92.3381,1860.061,1,0.6,5.0,continuous_rain,medium,landslide,0,NASA_GLC,0,260018,train
6f46c58b918adfe8,91.7351,26.149,Assam,Kamrup,2012-06-20,51.6282,0.2276,-0.2505,0.9681,0.003,1e-04,0.4176,17.3802,8.0224,5.1633,14.7244,69.348,134.5342,239.8899,86.7997,1511.5951,1,0.85,1.0,downpour,medium,landslide,0,NASA_GLC,1,140017,val
0224f797ffbdf9c6,93.4093,25.0672,Manipur,Tamenglong,2011-05-22,448.9985,11.9045,-0.5965,-0.8026,-0.0004,-0.0016,19.3765,13.7595,276.8464,2.1864,101.8213,113.1722,176.1096,264.6673,126.9457,1509.9784,1,0.3,25.0,downpour,medium,landslide,0,NASA_GLC,0,210013,train
1e61073d6af7eac5,94.1016,24.1988,Manipur,Chandel,2015-08-01,1392.5479,24.1108,-0.4155,-0.9096,-0.003,-1e-04,35.3111,13.6952,286.6668,87.5269,125.9941,144.4806,302.9071,388.0046,191.7988,1498.743,1,0.45,10.0,continuous_rain,medium,landslide,0,NASA_GLC,0,240009,train
6f8dedfb16c340c9,94.25,27.8776,Arunachal Pradesh,Upper Subansiri,2013-06-01,920.5933,27.1475,-0.7221,0.6918,-0.0058,0.0006,38.4776,12.7775,448.7178,4.1875,27.17,42.8353,96.8344,269.8712,69.9681,2552.9524,1,0.2,50.0,downpour,large,landslide,0,NASA_GLC,0,240025,train
5d29eac3db803a39,91.7356,26.1475,Assam,Kamrup,2012-06-02,50.7627,1.2764,0.9868,-0.1618,0.0008,0.0,2.047,15.6679,8.0224,5.8871,10.9118,11.0847,43.9101,97.6941,27.4834,1511.5951,1,0.6,5.0,downpour,large,landslide,0,NASA_GLC,0,140017,val
398ad4d1a90c6f27,93.487,24.9037,Manipur,Tamenglong,2013-09-01,1287.3884,28.9634,-0.3086,-0.9512,0.0039,0.0005,36.6768,12.7437,442.726,0.1382,0.7133,43.2043,78.1024,312.8482,63.6001,1509.9784,1,0.3,25.0,continuous_rain,medium,mudslide,0,NASA_GLC,0,210012,train
